ID,NAME,CR,TYPE,SIZE,ALIGNMENT,HABITAT,SOURCE,URL
2560799,Duergar Xarrorn,2,Humanoid (Dwarf),Medium,Any Alignment,"Mountain, Underdark",Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560799-duergar-xarrorn
417078,Duke Thalamra Vanthampur,4,Humanoid (Human),Medium,Lawful Evil,,Baldur’S Gate: Descent Into Avernus,https://www.dndbeyond.com/monsters/417078-duke-thalamra-vanthampur
299969,Duke Zalto,9,Giant,Huge,Lawful Evil,"Mountain, Underdark",Storm King'S Thunder,https://www.dndbeyond.com/monsters/299969-duke-zalto
1680921,Dullahan,10,Undead,Medium,,,Van Richten’S Guide To Ravenloft,https://www.dndbeyond.com/monsters/1680921-dullahan
3852131,Dunbarrow Witch,5,Humanoid (Human),Medium,Typically Neutral Evil,,Monstrous Compendium Vol. 4: Eldraine Creatures,https://www.dndbeyond.com/monsters/3852131-dunbarrow-witch
17180,Duodrone,1/4,Construct,Medium,Lawful Neutral,,Monster Manual (2014),https://www.dndbeyond.com/monsters/17180-duodrone
149798,Durnan,9,Humanoid (Human),Medium,Neutral,,Waterdeep: Dragon Heist,https://www.dndbeyond.com/monsters/149798-durnan
288137,Durnn,1,Humanoid (Goblinoid),Medium,Lawful Evil,"Desert, Forest, Grassland, Hill, Underdark",Tales From The Yawning Portal,https://www.dndbeyond.com/monsters/288137-durnn
486313,Dusk Hag,6,Fey,Medium,Neutral Evil,,Eberron: Rising From The Last War,https://www.dndbeyond.com/monsters/486313-dusk-hag
804867,Dust Devil,5,Elemental,Large,Neutral,"Desert, Mountain",Basic Rules (2014),https://www.dndbeyond.com/monsters/804867-dust-devil
3731004,Dust Hulk,5,Elemental,Large,Typically Chaotic Neutral,,Bigby Presents: Glory Of The Giants,https://www.dndbeyond.com/monsters/3731004-dust-hulk
5194978,Dust Mephit,1/2,Elemental,Small,Neutral Evil,Planar (Elemental Planes),Monster Manual,https://www.dndbeyond.com/monsters/5194978-dust-mephit
16851,Dust Mephit,1/2,Elemental,Small,Neutral Evil,Desert,Basic Rules (2014),https://www.dndbeyond.com/monsters/16851-dust-mephit
301781,Dust Mephit (Summoner Variant),1/2,Elemental,Small,Neutral Evil,Desert,Monster Manual (2014),https://www.dndbeyond.com/monsters/301781-dust-mephit-summoner-variant
27573,Duvessa Shane,,Humanoid (Human),Medium,Lawful Good,,Storm King'S Thunder,https://www.dndbeyond.com/monsters/27573-duvessa-shane
3805739,Dwarf Skeleton,1/2,Undead,Medium,Lawful Evil,,Phandelver And Below: The Shattered Obelisk,https://www.dndbeyond.com/monsters/3805739-dwarf-skeleton
584742,Dwarven Worker,1/8,Humanoid (Dwarf),Medium,Neutral,Urban,Infernal Machine Rebuild,https://www.dndbeyond.com/monsters/584742-dwarven-worker
2560800,Dybbuk,4,Fiend (Demon),Medium,Typically Chaotic Evil,"Desert, Urban",Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560800-dybbuk
94219,Dybbuk,4,Fiend (Demon),Medium,Chaotic Evil,"Desert, Urban",Mordenkainen’S Tome Of Foes,https://www.dndbeyond.com/monsters/94219-dybbuk
486968,Dyrrn,24,Aberration,Medium,Chaotic Evil,,Eberron: Rising From The Last War,https://www.dndbeyond.com/monsters/486968-dyrrn
1123080,Dzaan,4,Humanoid (Human),Medium,Lawful Evil,,Icewind Dale: Rime Of The Frostmaiden,https://www.dndbeyond.com/monsters/1123080-dzaan
1123081,Dzaan’s Simulacrum,1,Construct,Medium,Lawful Evil,,Icewind Dale: Rime Of The Frostmaiden,https://www.dndbeyond.com/monsters/1123081-dzaans-simulacrum
5194979,Eagle,0,Beast,Small,Unaligned,"Coastal, Grassland, Hill, Mountain",Monster Manual,https://www.dndbeyond.com/monsters/5194979-eagle
16852,Eagle,0,Beast,Small,Unaligned,"Coastal, Grassland, Hill, Mountain",Basic Rules (2014),https://www.dndbeyond.com/monsters/16852-eagle
5194980,Earth Elemental,5,Elemental,Large,Neutral,"Mountain, Planar (Elemental Plane of Earth), Underdark",Monster Manual,https://www.dndbeyond.com/monsters/5194980-earth-elemental
16853,Earth Elemental,5,Elemental,Large,Neutral,Underdark,Basic Rules (2014),https://www.dndbeyond.com/monsters/16853-earth-elemental
17458,Earth Elemental Myrmidon,7,Elemental,Medium,Neutral,,Princes Of The Apocalypse,https://www.dndbeyond.com/monsters/17458-earth-elemental-myrmidon
2560801,Earth Elemental Myrmidon,7,Elemental,Medium,Typically Neutral,,Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560801-earth-elemental-myrmidon
265836,East Wind,3,Humanoid (Half-Orc),Medium,Any Alignment,Urban,Lost Laboratory Of Kwalish,https://www.dndbeyond.com/monsters/265836-east-wind
909481,Eater of Hope,6,Fiend,Large,Lawful Evil,,Mythic Odysseys Of Theros,https://www.dndbeyond.com/monsters/909481-eater-of-hope
3883531,Eater of Knowledge,6,Aberration,Large,Typically Neutral Evil,,Planescape: Adventures In The Multiverse,https://www.dndbeyond.com/monsters/3883531-eater-of-knowledge
33024,Eblis,1,Monstrosity,Large,Neutral Evil,,Tomb Of Annihilation,https://www.dndbeyond.com/monsters/33024-eblis
451896,Ebondeath,4,Undead,Medium,Any Alignment,"Underdark, Urban",Divine Contention,https://www.dndbeyond.com/monsters/451896-ebondeath
3731005,Echo of Demogorgon,6,Fiend (Demon),Large,Typically Chaotic Evil,,Bigby Presents: Glory Of The Giants,https://www.dndbeyond.com/monsters/3731005-echo-of-demogorgon
3342709,Edgin Darvis,5,Humanoid (Bard),Medium,Chaotic Good,,Thieves’ Gallery,https://www.dndbeyond.com/monsters/3342709-edgin-darvis
5194981,Efreeti,11,Elemental (Genie),Large,Neutral,"Desert, Planar (Elemental Plane of Fire)",Monster Manual,https://www.dndbeyond.com/monsters/5194981-efreeti
16854,Efreeti,11,Elemental,Large,Lawful Evil,Desert,Basic Rules (2014),https://www.dndbeyond.com/monsters/16854-efreeti
2059734,Egg Hunter Adult,5,Monstrosity,Small,Unaligned,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059734-egg-hunter-adult
2059735,Egg Hunter Hatchling,2,Monstrosity,Tiny,Unaligned,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059735-egg-hunter-hatchling
2560802,Eidolon,12,Undead,Medium,Any Alignment,"Coastal, Desert, Forest, Grassland, Mountain, Urban",Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560802-eidolon
96527,Eidolon,12,Undead,Medium,Any Alignment,"Coastal, Desert, Forest, Grassland, Mountain, Urban",Mordenkainen’S Tome Of Foes,https://www.dndbeyond.com/monsters/96527-eidolon
299573,Eigeron’s Spirit,4,Undead,Huge,Neutral Good,"Underdark, Urban",Storm King'S Thunder,https://www.dndbeyond.com/monsters/299573-eigerons-spirit
296882,Elder Black Pudding,4,Ooze,Huge,Unaligned,Underdark,Tales From The Yawning Portal,https://www.dndbeyond.com/monsters/296882-elder-black-pudding
2560803,Elder Brain,14,Aberration (Mind Flayer),Large,Typically Lawful Evil,Underdark,Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560803-elder-brain
17284,Elder Brain,14,Aberration,Large,Lawful Evil,Underdark,Volo'S Guide To Monsters,https://www.dndbeyond.com/monsters/17284-elder-brain
2059736,Elder Brain Dragon,22,Aberration,Gargantuan,Typically Lawful Evil,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059736-elder-brain-dragon
2560804,Elder Oblex,10,Ooze,Huge,Typically Lawful Evil,"Swamp, Underdark, Urban",Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560804-elder-oblex
96503,Elder Oblex,10,Ooze,Huge,Lawful Evil,"Swamp, Underdark, Urban",Mordenkainen’S Tome Of Foes,https://www.dndbeyond.com/monsters/96503-elder-oblex
2560805,Elder Tempest,23,Elemental,Gargantuan,Typically Neutral,"Arctic, Coastal, Grassland, Hill, Mountain",Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560805-elder-tempest
97316,Elder Tempest,23,Elemental,Gargantuan,Neutral,"Arctic, Coastal, Grassland, Mountain",Mordenkainen’S Tome Of Foes,https://www.dndbeyond.com/monsters/97316-elder-tempest
3276646,Eldritch Horror Hatchling,2,Monstrosity,Large,Unaligned,,Keys From The Golden Vault,https://www.dndbeyond.com/monsters/3276646-eldritch-horror-hatchling
2506152,Eldritch Lich,15,Undead,Medium,Typically Neutral Evil,,Monstrous Compendium Vol. 1: Spelljammer Creatures,https://www.dndbeyond.com/monsters/2506152-eldritch-lich
5194982,Elemental Cataclysm,22,Elemental (Titan),Gargantuan,Chaotic Neutral,Planar (Elemental Chaos),Monster Manual,https://www.dndbeyond.com/monsters/5194982-elemental-cataclysm
5194983,Elemental Cultist,8,Humanoid,Medium or Small,Chaotic Evil,Any,Monster Manual,https://www.dndbeyond.com/monsters/5194983-elemental-cultist
4775814,Elephant,4,Beast,Huge,Unaligned,Grassland,Monster Manual,https://www.dndbeyond.com/monsters/4775814-elephant
16855,Elephant,4,Beast,Huge,Unaligned,Grassland,Basic Rules (2014),https://www.dndbeyond.com/monsters/16855-elephant
3276647,Eliphas Adulare,5,"Humanoid (Human, Shapechanger)",Medium,Neutral Good,,Keys From The Golden Vault,https://www.dndbeyond.com/monsters/3276647-eliphas-adulare
1680922,Elise,5,Construct,Medium,Neutral,,Van Richten’S Guide To Ravenloft,https://www.dndbeyond.com/monsters/1680922-elise
299663,Elister Noggins,2,Humanoid (Gnome),Small,Chaotic Neutral,Urban,Storm King'S Thunder,https://www.dndbeyond.com/monsters/299663-elister-noggins
17442,Elizar Dryflagon,5,Humanoid (Human),Medium,Neutral Evil,,Princes Of The Apocalypse,https://www.dndbeyond.com/monsters/17442-elizar-dryflagon
4775815,Elk,1/4,Beast,Large,Unaligned,"Forest, Grassland, Hill",Monster Manual,https://www.dndbeyond.com/monsters/4775815-elk
16857,Elk,1/4,Beast,Large,Unaligned,"Forest, Grassland, Hill",Basic Rules (2014),https://www.dndbeyond.com/monsters/16857-elk
1979777,Elkhorn,2,Humanoid (Dwarf),Medium,Lawful Good,,The Wild Beyond The Witchlight,https://www.dndbeyond.com/monsters/1979777-elkhorn
3086223,Ember,22,Dragon (Adult Chromatic),Huge,Chaotic Evil,,Monstrous Compendium Vol. 2: Dragonlance Creatures,https://www.dndbeyond.com/monsters/3086223-ember
275712,Emberosa,9,Giant,Huge,Lawful Evil,"Mountain, Underdark",Waterdeep: Dungeon Of The Mad Mage,https://www.dndbeyond.com/monsters/275712-emberosa
280311,Embric,2,Humanoid,Medium,Neutral Good,"Arctic, Coastal, Desert, Forest, Hill, Urban",Waterdeep: Dragon Heist,https://www.dndbeyond.com/monsters/280311-embric
2059737,Emerald Dragon Wyrmling,2,Dragon (Gem),Medium,Typically Lawful Neutral,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059737-emerald-dragon-wyrmling
27720,Emerald Enclave Scout,1/2,Humanoid,Medium,Lawful Neutral,,Out Of The Abyss,https://www.dndbeyond.com/monsters/27720-emerald-enclave-scout
2059738,Emerald Greatwyrm,26,Dragon (Gem),Gargantuan,Typically Neutral,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059738-emerald-greatwyrm
17212,Empyrean,23,Celestial (Titan),Huge,Unaligned,,Monster Manual (2014),https://www.dndbeyond.com/monsters/17212-empyrean
5194984,Empyrean (Celestial),23,Celestial (Titan),Huge,Neutral,Any,Monster Manual,https://www.dndbeyond.com/monsters/5194984-empyrean-celestial
5194985,Empyrean (Fiend),23,Fiend (Titan),Huge,Neutral,Any,Monster Manual,https://www.dndbeyond.com/monsters/5194985-empyrean-fiend
5194986,Empyrean Iota (Celestial),1,Celestial (Titan),Medium,Neutral,Any,Monster Manual,https://www.dndbeyond.com/monsters/5194986-empyrean-iota-celestial
5194987,Empyrean Iota (Fiend),1,Fiend (Titan),Medium,Neutral,Any,Monster Manual,https://www.dndbeyond.com/monsters/5194987-empyrean-iota-fiend
3805740,Encephalon Cluster,10,Aberration,Large,Unaligned,,Phandelver And Below: The Shattered Obelisk,https://www.dndbeyond.com/monsters/3805740-encephalon-cluster
3805741,Encephalon Gemmule,3,Aberration,Tiny,Unaligned,,Phandelver And Below: The Shattered Obelisk,https://www.dndbeyond.com/monsters/3805741-encephalon-gemmule
17333,Enchanter,5,Humanoid (Any Race),Medium,Any Alignment,Urban,Volo'S Guide To Monsters,https://www.dndbeyond.com/monsters/17333-enchanter
2560806,Enchanter Wizard,5,Humanoid,Medium,Any Alignment,Urban,Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560806-enchanter-wizard
3960606,Enchanting Infiltrator,11,Fey,Medium or Small,Typically Neutral Evil,,The Book Of Many Things,https://www.dndbeyond.com/monsters/3960606-enchanting-infiltrator
1979778,Endelyn Moongrave,6,Fey (Hag),Medium,Neutral Evil,,The Wild Beyond The Witchlight,https://www.dndbeyond.com/monsters/1979778-endelyn-moongrave
582096,Enhanced Medusa,6,Monstrosity,Medium,Lawful Evil,Desert,Infernal Machine Rebuild,https://www.dndbeyond.com/monsters/582096-enhanced-medusa
265787,Enhanced Sphinx,11,Monstrosity,Large,Lawful Neutral,Desert,Lost Laboratory Of Kwalish,https://www.dndbeyond.com/monsters/265787-enhanced-sphinx
360895,Enormous Tentacle,2,Beast,Huge,Unaligned,"Desert, Forest, Swamp, Underdark, Underwater",Acquisitions Incorporated,https://www.dndbeyond.com/monsters/360895-enormous-tentacle
1979779,Envy,5,Monstrosity,Large,Unaligned,,The Wild Beyond The Witchlight,https://www.dndbeyond.com/monsters/1979779-envy
3883532,Equinal Guardinal,6,Celestial,Large,Typically Neutral Good,,Planescape: Adventures In The Multiverse,https://www.dndbeyond.com/monsters/3883532-equinal-guardinal
5194988,Erinyes,12,Fiend (Devil),Medium,Lawful Evil,Planar (Nine Hells),Monster Manual,https://www.dndbeyond.com/monsters/5194988-erinyes
16858,Erinyes,12,Fiend (Devil),Medium,Lawful Evil,,Basic Rules (2014),https://www.dndbeyond.com/monsters/16858-erinyes
301706,Erinyes (Rope Variant),12,Fiend (Devil),Medium,Lawful Evil,,Monster Manual (2014),https://www.dndbeyond.com/monsters/301706-erinyes-rope-variant
301700,Erinyes (Summoner Variant),12,Fiend (Devil),Medium,Lawful Evil,,Monster Manual (2014),https://www.dndbeyond.com/monsters/301700-erinyes-summoner-variant
288118,Erky Timbers,1/4,Humanoid (Gnome),Small,Any Alignment,Urban,Tales From The Yawning Portal,https://www.dndbeyond.com/monsters/288118-erky-timbers
2821162,Esthetic,12,Aberration,Gargantuan,Unaligned,,Spelljammer: Adventures In Space,https://www.dndbeyond.com/monsters/2821162-esthetic
295883,Estia,9,Giant,Huge,Neutral,Mountain,Tales From The Yawning Portal,https://www.dndbeyond.com/monsters/295883-estia
17436,Eternal Flame Guardian,2,Humanoid (Human),Medium,Chaotic Evil,,Princes Of The Apocalypse,https://www.dndbeyond.com/monsters/17436-eternal-flame-guardian
17437,Eternal Flame Priest,3,Humanoid (Human),Medium,Neutral Evil,,Princes Of The Apocalypse,https://www.dndbeyond.com/monsters/17437-eternal-flame-priest
5194989,Ettercap,2,Monstrosity,Medium,Neutral Evil,Forest,Monster Manual,https://www.dndbeyond.com/monsters/5194989-ettercap
16859,Ettercap,2,Monstrosity,Medium,Neutral Evil,Forest,Basic Rules (2014),https://www.dndbeyond.com/monsters/16859-ettercap
301734,Ettercap (variant),2,Monstrosity,Medium,Neutral Evil,Forest,Monster Manual (2014),https://www.dndbeyond.com/monsters/301734-ettercap-variant
5194990,Ettin,4,Giant,Large,Chaotic Evil,"Hill, Mountain, Underdark",Monster Manual,https://www.dndbeyond.com/monsters/5194990-ettin
16860,Ettin,4,Giant,Large,Chaotic Evil,"Hill, Mountain, Underdark",Basic Rules (2014),https://www.dndbeyond.com/monsters/16860-ettin
3731006,Ettin Ceremorph,8,Aberration,Large,Typically Lawful Evil,,Bigby Presents: Glory Of The Giants,https://www.dndbeyond.com/monsters/3731006-ettin-ceremorph
3960607,Euryale,18,"Monstrosity (Druid, Medusa)",Medium,Neutral Good,,The Book Of Many Things,https://www.dndbeyond.com/monsters/3960607-euryale
22021,Evil Mage,1,Humanoid,Medium,Lawful Evil,,Lost Mine Of Phandelver,https://www.dndbeyond.com/monsters/22021-evil-mage
17334,Evoker,9,Humanoid (Any Race),Medium,Any Alignment,Urban,Volo'S Guide To Monsters,https://www.dndbeyond.com/monsters/17334-evoker
2560807,Evoker Wizard,9,Humanoid,Medium,Any Alignment,Urban,Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560807-evoker-wizard
1842957,Exethanter,10,Undead,Medium,Any Evil Alignment,,Curse Of Strahd,https://www.dndbeyond.com/monsters/1842957-exethanter
487593,Expeditious Messenger,1/8,Construct,Tiny,Neutral,,Eberron: Rising From The Last War,https://www.dndbeyond.com/monsters/487593-expeditious-messenger
368969,Expert,1,Humanoid,Medium,Any Alignment,,Dragon Of Icespire Peak,https://www.dndbeyond.com/monsters/368969-expert
2821163,Eye Monger,10,Aberration,Large,Typically Lawful Evil,,Spelljammer: Adventures In Space,https://www.dndbeyond.com/monsters/2821163-eye-monger
581278,Eye of Fear and Flame,9,Undead,Medium,Chaotic Evil,,Infernal Machine Rebuild,https://www.dndbeyond.com/monsters/581278-eye-of-fear-and-flame
2059739,Eyedrake,8,Aberration,Large,Typically Lawful Evil,,Fizban'S Treasury Of Dragons,https://www.dndbeyond.com/monsters/2059739-eyedrake
3883533,Eyestalk of Gzemnid,15,Monstrosity,Gargantuan,Unaligned,,Planescape: Adventures In The Multiverse,https://www.dndbeyond.com/monsters/3883533-eyestalk-of-gzemnid
17364,Ezmerelda d’Avenir,8,Humanoid,Medium,Chaotic Good,,Curse Of Strahd,https://www.dndbeyond.com/monsters/17364-ezmerelda-davenir
3920397,Factol Skall,17,Undead (Wizard),Medium,Neutral Evil,,Adventure Atlas: The Mortuary,https://www.dndbeyond.com/monsters/3920397-factol-skall
3852132,Faerie Borrower,1/2,Fey,Tiny,Typically Chaotic Neutral,,Monstrous Compendium Vol. 4: Eldraine Creatures,https://www.dndbeyond.com/monsters/3852132-faerie-borrower
17108,Faerie Dragon (Older),2,Dragon,Tiny,Chaotic Good,Forest,Monster Manual (2014),https://www.dndbeyond.com/monsters/17108-faerie-dragon-older
17107,Faerie Dragon (Younger),1,Dragon,Tiny,Chaotic Good,Forest,Monster Manual (2014),https://www.dndbeyond.com/monsters/17107-faerie-dragon-younger
5194991,Faerie Dragon Adult,2,Dragon,Tiny,Chaotic Good,Forest,Monster Manual,https://www.dndbeyond.com/monsters/5194991-faerie-dragon-adult
5194992,Faerie Dragon Youth,1,Dragon,Tiny,Chaotic Good,Forest,Monster Manual,https://www.dndbeyond.com/monsters/5194992-faerie-dragon-youth
3852133,Faerie Pathlighter,2,Fey,Medium,Typically Chaotic Good,,Monstrous Compendium Vol. 4: Eldraine Creatures,https://www.dndbeyond.com/monsters/3852133-faerie-pathlighter
3852134,Faerie Pest,1,Fey,Small,Typically Chaotic Evil,,Monstrous Compendium Vol. 4: Eldraine Creatures,https://www.dndbeyond.com/monsters/3852134-faerie-pest
1528962,Faerl,1/8,Humanoid (Elf),Medium,Neutral Evil,,Candlekeep Mysteries,https://www.dndbeyond.com/monsters/1528962-faerl
782417,Failed Dragonpriest,2,Giant,Large,Chaotic Evil,"Arctic, Forest, Hill, Mountain, Swamp, Underdark",Tales From The Yawning Portal,https://www.dndbeyond.com/monsters/782417-failed-dragonpriest
280317,Fala Lefaliir,2,Humanoid (Elf),Medium,Chaotic Good,"Arctic, Coastal, Desert, Forest, Grassland, Hill, Mountain, Swamp, Underdark",Waterdeep: Dragon Heist,https://www.dndbeyond.com/monsters/280317-fala-lefaliir
338605,Falcon the Hunter,4,Humanoid (Human),Medium,Neutral Good,,Dragon Of Icespire Peak,https://www.dndbeyond.com/monsters/338605-falcon-the-hunter
4468324,False Lich,21,Undead,Medium,Typically Neutral Evil,,Vecna: Eve Of Ruin,https://www.dndbeyond.com/monsters/4468324-false-lich
3883534,Farastu Demodand,11,Fiend,Medium,Typically Neutral Evil,,Planescape: Adventures In The Multiverse,https://www.dndbeyond.com/monsters/3883534-farastu-demodand
487586,Fastieth,1/4,Beast,Medium,Unaligned,,Eberron: Rising From The Last War,https://www.dndbeyond.com/monsters/487586-fastieth
3960608,Fate Hag,4,Fey,Medium,Typically Neutral,,The Book Of Many Things,https://www.dndbeyond.com/monsters/3960608-fate-hag
3883535,Fated Shaker,5,Humanoid,Medium or Small,Any Alignment,,Planescape: Adventures In The Multiverse,https://www.dndbeyond.com/monsters/3883535-fated-shaker
17448,Fathomer,2,Humanoid (Human),Medium,Neutral Evil,,Princes Of The Apocalypse,https://www.dndbeyond.com/monsters/17448-fathomer
277050,Fazrian,16,Celestial,Large,Lawful Evil,,Waterdeep: Dungeon Of The Mad Mage,https://www.dndbeyond.com/monsters/277050-fazrian
17420,Feathergale Knight,1,Humanoid (Human),Medium,Lawful Evil,,Princes Of The Apocalypse,https://www.dndbeyond.com/monsters/17420-feathergale-knight
297788,Felbarren Dwarf,1/8,Humanoid (Dwarf),Medium,Lawful Good,"Coastal, Desert, Forest, Grassland, Hill, Mountain, Urban",Storm King'S Thunder,https://www.dndbeyond.com/monsters/297788-felbarren-dwarf
175342,Felidar,5,Celestial,Large,Lawful Neutral,,Guildmasters’ Guide To Ravnica,https://www.dndbeyond.com/monsters/175342-felidar
17401,Female Steeder,1,Monstrosity,Large,Unaligned,Underdark,Out Of The Abyss,https://www.dndbeyond.com/monsters/17401-female-steeder
2560808,Female Steeder,1,Monstrosity,Large,Unaligned,Underdark,Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560808-female-steeder
301293,Fennor,3,Humanoid (Human),Medium,Any Chaotic Alignment,"Arctic, Coastal, Desert, Forest, Hill, Mountain",Princes Of The Apocalypse,https://www.dndbeyond.com/monsters/301293-fennor
3731007,Fensir Devourer,8,Celestial,Huge,Typically Chaotic Neutral,,Bigby Presents: Glory Of The Giants,https://www.dndbeyond.com/monsters/3731007-fensir-devourer
3731008,Fensir Skirmisher,6,Giant,Large,Any Alignment,,Bigby Presents: Glory Of The Giants,https://www.dndbeyond.com/monsters/3731008-fensir-skirmisher
3805742,Feral Ashenwight,5,Undead,Medium,Typically Neutral Evil,,Phandelver And Below: The Shattered Obelisk,https://www.dndbeyond.com/monsters/3805742-feral-ashenwight
3883536,Ferrumach Rilmani,9,Celestial,Medium,Typically Neutral,,Planescape: Adventures In The Multiverse,https://www.dndbeyond.com/monsters/3883536-ferrumach-rilmani
3081107,Fewmaster Gholcag,2,Giant,Large,Chaotic Evil,,Dragonlance: Shadow Of The Dragon Queen,https://www.dndbeyond.com/monsters/3081107-fewmaster-gholcag
2821164,Feyr,5,Aberration,Large,Typically Chaotic Evil,,Spelljammer: Adventures In Space,https://www.dndbeyond.com/monsters/2821164-feyr
488034,Fhenimore (Kraken Priest Variant),5,Humanoid (Human),Medium,Lawful Evil,,Locathah Rising,https://www.dndbeyond.com/monsters/488034-fhenimore-kraken-priest-variant
5194993,Fiend Cultist,8,Humanoid,Medium or Small,Neutral Evil,Any,Monster Manual,https://www.dndbeyond.com/monsters/5194993-fiend-cultist
3805743,Fiendish Auger,5,Construct,Huge,Typically Neutral Evil,,Phandelver And Below: The Shattered Obelisk,https://www.dndbeyond.com/monsters/3805743-fiendish-auger
417091,Fiendish Flesh Golem,8,Construct,Large,Unaligned,,Baldur’S Gate: Descent Into Avernus,https://www.dndbeyond.com/monsters/417091-fiendish-flesh-golem
274108,Fiendish Giant Spider,1/2,Beast,Medium,Unaligned,"Coastal, Desert, Forest, Grassland, Hill",Out Of The Abyss,https://www.dndbeyond.com/monsters/274108-fiendish-giant-spider
3731009,Firbolg Primeval Warden,4,Humanoid (Druid),Medium,Any Alignment,,Bigby Presents: Glory Of The Giants,https://www.dndbeyond.com/monsters/3731009-firbolg-primeval-warden
3731010,Firbolg Wanderer,5,Humanoid (Cleric),Medium,Any Alignment,,Bigby Presents: Glory Of The Giants,https://www.dndbeyond.com/monsters/3731010-firbolg-wanderer
4904758,Fire Elemental,5,Elemental,Large,Neutral,"Desert, Planar (Elemental Plane of Fire)",Monster Manual,https://www.dndbeyond.com/monsters/4904758-fire-elemental
16861,Fire Elemental,5,Elemental,Large,Neutral,Desert,Basic Rules (2014),https://www.dndbeyond.com/monsters/16861-fire-elemental
17459,Fire Elemental Myrmidon,7,Elemental,Medium,Neutral,,Princes Of The Apocalypse,https://www.dndbeyond.com/monsters/17459-fire-elemental-myrmidon
2560809,Fire Elemental Myrmidon,7,Elemental,Medium,Typically Neutral,,Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560809-fire-elemental-myrmidon
5194994,Fire Giant,9,Giant,Huge,Lawful Evil,"Mountain, Underdark",Monster Manual,https://www.dndbeyond.com/monsters/5194994-fire-giant
16862,Fire Giant,9,Giant,Huge,Lawful Evil,"Mountain, Underdark",Basic Rules (2014),https://www.dndbeyond.com/monsters/16862-fire-giant
324266,Fire Giant (variant),9,Giant,Huge,Lawful Evil,"Mountain, Underdark",Storm King'S Thunder,https://www.dndbeyond.com/monsters/324266-fire-giant-variant
2560810,Fire Giant Dreadnought,14,Giant,Huge,Typically Lawful Evil,"Mountain, Underdark",Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560810-fire-giant-dreadnought
17252,Fire Giant Dreadnought,14,Giant (Fire Giant),Huge,Lawful Evil,"Mountain, Underdark",Volo'S Guide To Monsters,https://www.dndbeyond.com/monsters/17252-fire-giant-dreadnought
3731011,Fire Giant Forgecaller,18,Giant (Cleric),Huge,Any Alignment,,Bigby Presents: Glory Of The Giants,https://www.dndbeyond.com/monsters/3731011-fire-giant-forgecaller
3731012,Fire Giant of Evil Fire,10,Giant,Huge,Typically Lawful Evil,,Bigby Presents: Glory Of The Giants,https://www.dndbeyond.com/monsters/3731012-fire-giant-of-evil-fire
3731013,Fire Hellion,11,Fiend (Devil),Huge,Typically Lawful Evil,,Bigby Presents: Glory Of The Giants,https://www.dndbeyond.com/monsters/3731013-fire-hellion
17199,Fire Snake,1,Elemental,Medium,Neutral Evil,Underdark,Monster Manual (2014),https://www.dndbeyond.com/monsters/17199-fire-snake
175820,Firefist,7,Humanoid (Any Race),Medium,Lawful Good,,Guildmasters’ Guide To Ravnica,https://www.dndbeyond.com/monsters/175820-firefist
3731014,Firegaunt,11,Undead,Huge,Typically Lawful Evil,,Bigby Presents: Glory Of The Giants,https://www.dndbeyond.com/monsters/3731014-firegaunt
175256,Firemane Angel,12,Celestial,Medium,Chaotic Good,,Guildmasters’ Guide To Ravnica,https://www.dndbeyond.com/monsters/175256-firemane-angel
2560811,Firenewt Warlock of Imix,1,Elemental,Medium,Typically Neutral Evil,"Hill, Mountain, Underdark",Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560811-firenewt-warlock-of-imix
17248,Firenewt Warlock of Imix,1,Humanoid (Firenewt),Medium,Neutral Evil,"Hill, Mountain, Underdark",Volo'S Guide To Monsters,https://www.dndbeyond.com/monsters/17248-firenewt-warlock-of-imix
2560812,Firenewt Warrior,1/2,Elemental,Medium,Typically Neutral,"Desert, Hill, Mountain, Underdark",Mordenkainen Presents: Monsters Of The Multiverse,https://www.dndbeyond.com/monsters/2560812-firenewt-warrior
