ID,NAME,SLUG,NAME_LOWER,RARITY,TYPE,ATTUNEMENT,NOTES,SOURCE,URL,SOURCE_SHORT
5432,Whelm,whelm,whelm,Legendary,Weapon,Required,"Bonus: Magic, dwarf, Damage, Buff, Debuff, Combat, Sentient, Versatile, Push",Dungeon Master’s Guide (2014),https://www.dndbeyond.com/magic-items/5432-whelm,xdmg
5504,Weapon of Warning,weapon-of-warning,weapon of warning,Uncommon,Weapon,Required,"Advantage: Initiative, Damage, Detection, Combat",Dungeon Master’s Guide (2014),https://www.dndbeyond.com/magic-items/5504-weapon-of-warning,xdmg
5505,Sword of Vengeance,sword-of-vengeance,sword of vengeance,Uncommon,Weapon,Required,"Bonus: Magic, Damage, Combat, Cursed",Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/5505-sword-of-vengeance,xdmg
5506,Sword of Answering,sword-of-answering,sword of answering,Legendary,Weapon,Required,"Bonus: Magic, creature with the same alignment as the sword, Damage, Control, Combat, Versatile, Sap",Dungeon Master’s Guide (2014),https://www.dndbeyond.com/magic-items/5506-sword-of-answering,xdmg
5507,Mariner's Armor,mariners-armor,mariner's armor,Uncommon,Armor,,"Set: Innate Speed (Swimming), Movement, Exploration, Combat, Warding",Dungeon Master’s Guide (2014),https://www.dndbeyond.com/magic-items/5507-mariners-armor,xdmg
5508,Instrument of the Bards,instrument-of-the-bards,instrument of the bards,Varies,Wondrous Item,Required,"bard, Damage, Control, Buff, Utility, Exploration, Combat, Instrument",Dungeon Master’s Guide (2014),https://www.dndbeyond.com/magic-items/5508-instrument-of-the-bards,xdmg
5509,Ring of Elemental Command,ring-of-elemental-command,ring of elemental command,Legendary,Wondrous Item,Required,"Control, Movement, Warding, Jewelry",Basic Rules (2014),https://www.dndbeyond.com/magic-items/5509-ring-of-elemental-command,xdmg
5510,Banner of the Krig Rune,banner-of-the-krig-rune,banner of the krig rune,Rare,Wondrous Item,Required,"Immunity: Frightened, Buff, Detection, Combat, Warding",Storm King's Thunder,https://www.dndbeyond.com/magic-items/5510-banner-of-the-krig-rune,skt
5511,Blod Stone,blod-stone,blod stone,Rare,Wondrous Item,Required,Detection,Storm King's Thunder,https://www.dndbeyond.com/magic-items/5511-blod-stone,skt
5512,Claw of the Wyrm Rune,claw-of-the-wyrm-rune,claw of the wyrm rune,Rare,Wondrous Item,Required,"Resistance: All, Combat, Warding, Bane",Storm King's Thunder,https://www.dndbeyond.com/magic-items/5512-claw-of-the-wyrm-rune,skt
5513,Conch of Teleportation,conch-of-teleportation,conch of teleportation,Very Rare,Wondrous Item,Required,"Teleportation, Movement, Exploration",Storm King's Thunder,https://www.dndbeyond.com/magic-items/5513-conch-of-teleportation,skt
5514,Gavel of the Venn Rune,gavel-of-the-venn-rune,gavel of the venn rune,Rare,Wondrous Item,Required,"Damage, Utility, Warding",Storm King's Thunder,https://www.dndbeyond.com/magic-items/5514-gavel-of-the-venn-rune,skt
5515,Gurt's Greataxe,gurts-greataxe,gurt's greataxe,Legendary,Weapon,Required,"Bonus: Magic, Damage: Slashing, Damage, Bane, Heavy, Two-Handed, Cleave",Storm King's Thunder,https://www.dndbeyond.com/magic-items/5515-gurts-greataxe,skt
5516,Ingot of the Skold Rune,ingot-of-the-skold-rune,ingot of the skold rune,Very Rare,Wondrous Item,Required,"Bonus: Armor Class, Warding",Storm King's Thunder,https://www.dndbeyond.com/magic-items/5516-ingot-of-the-skold-rune,skt
5517,Korolnor Scepter,korolnor-scepter,korolnor scepter,Legendary,Wondrous Item,Required,"Bonus: Magic, Teleportation, Damage, Control",Storm King's Thunder,https://www.dndbeyond.com/magic-items/5517-korolnor-scepter,skt
5518,Navigation Orb,navigation-orb,navigation orb,Very Rare,Wondrous Item,Required,"Control, Exploration",Storm King's Thunder,https://www.dndbeyond.com/magic-items/5518-navigation-orb,skt
5519,Opal of the Ild Rune,opal-of-the-ild-rune,opal of the ild rune,Rare,Wondrous Item,Required,"Resistance: Cold, Damage, Warding",Storm King's Thunder,https://www.dndbeyond.com/magic-items/5519-opal-of-the-ild-rune,skt
5520,Orb of the Stein Rune,orb-of-the-stein-rune,orb of the stein rune,Rare,Wondrous Item,Required,"Immunity: Petrified, Movement, Warding",Storm King's Thunder,https://www.dndbeyond.com/magic-items/5520-orb-of-the-stein-rune,skt
5521,Pennant of the Vind Rune,pennant-of-the-vind-rune,pennant of the vind rune,Very Rare,Wondrous Item,Required,"Buff, Movement",Storm King's Thunder,https://www.dndbeyond.com/magic-items/5521-pennant-of-the-vind-rune,skt
5522,Potion of Giant Size,potion-of-giant-size,potion of giant size,Legendary,Potion,,"Buff, Shapechanging",Storm King's Thunder,https://www.dndbeyond.com/magic-items/5522-potion-of-giant-size,skt
5523,Robe of Serpents,robe-of-serpents,robe of serpents,Uncommon,Wondrous Item,Required,Summoning,Storm King's Thunder,https://www.dndbeyond.com/magic-items/5523-robe-of-serpents,skt
5524,Rod of the Vonindod,rod-of-the-vonindod,rod of the vonindod,Rare,Rod,Required,Detection,Storm King's Thunder,https://www.dndbeyond.com/magic-items/5524-rod-of-the-vonindod,skt
5525,Shard of the Ise Rune,shard-of-the-ise-rune,shard of the ise rune,Very Rare,Wondrous Item,Required,"Resistance: Fire, Damage, Control, Warding",Storm King's Thunder,https://www.dndbeyond.com/magic-items/5525-shard-of-the-ise-rune,skt
5526,Wyrmskull Throne,wyrmskull-throne,wyrmskull throne,Artifact,Wondrous Item,,"Set: Innate Speed (Flying), Damage, Movement, Warding",Storm King's Thunder,https://www.dndbeyond.com/magic-items/5526-wyrmskull-throne,skt
5527,Blood Spear,blood-spear,blood spear,Uncommon,Weapon,Required,"Bonus: Temporary Hit Points, Bonus: Magic, Damage, Buff, Combat, Thrown, Versatile, Sap",Curse of Strahd,https://www.dndbeyond.com/magic-items/5527-blood-spear,cos
5528,Gulthias Staff,gulthias-staff,gulthias staff,Rare,Staff,Required,"Damage, Buff, Combat",Curse of Strahd,https://www.dndbeyond.com/magic-items/5528-gulthias-staff,cos
5529,Holy Symbol of Ravenkind,holy-symbol-of-ravenkind,holy symbol of ravenkind,Legendary,Wondrous Item,Required,"cleric or paladin of good alignment, Control, Bane",Curse of Strahd,https://www.dndbeyond.com/magic-items/5529-holy-symbol-of-ravenkind,cos
5530,Icon of Ravenloft,icon-of-ravenloft,icon of ravenloft,Legendary,Wondrous Item,Required,"Creature of Good Alignment, Healing, Utility",Curse of Strahd,https://www.dndbeyond.com/magic-items/5530-icon-of-ravenloft,cos
5531,Saint Markovia's Thighbone,saint-markovias-thighbone,saint markovia's thighbone,Rare,Weapon,Required,"Damage: Radiant, Damage, Combat, Sap",Curse of Strahd,https://www.dndbeyond.com/magic-items/5531-saint-markovias-thighbone,cos
5532,Sunsword,sunsword,sunsword,Legendary,Weapon,Required,"Bonus: Magic, Damage: Radiant, Weapon Property: Finesse, Replace Damage Type: Radiant, Damage, Combat, Versatile, Sap",Curse of Strahd,https://www.dndbeyond.com/magic-items/5532-sunsword,cos
5533,Dawnbringer,dawnbringer,dawnbringer,Legendary,Weapon,Required,"Bonus: Magic, Damage: Radiant, Weapon Property: Finesse, Replace Damage Type: Radiant, Creature of Non-Evil Alignment, Damage, Combat, Sentient, Versatile, Sap",Out of the Abyss,https://www.dndbeyond.com/magic-items/5533-dawnbringer,oota
5534,Piwafwi (Cloak of Elvenkind),piwafwi-(cloak-of-elvenkind),piwafwi (cloak of elvenkind),Uncommon,Wondrous Item,Required,"Advantage: Stealth, Deception",Out of the Abyss,https://www.dndbeyond.com/magic-items/5534-piwafwi-cloak-of-elvenkind,oota
5535,Piwafwi of Fire Resistance,piwafwi-of-fire-resistance,piwafwi of fire resistance,Rare,Wondrous Item,Required,"Resistance: Fire, Advantage: Stealth, Deception, Warding",Out of the Abyss,https://www.dndbeyond.com/magic-items/5535-piwafwi-of-fire-resistance,oota
5536,Spell Gem,spell-gem,spell gem,Varies,Wondrous Item,Required,"Spellcaster if Seeking to Imbue the Gem, Utility",Out of the Abyss,https://www.dndbeyond.com/magic-items/5536-spell-gem,oota
5537,Stonespeaker Crystal,stonespeaker-crystal,stonespeaker crystal,Rare,Wondrous Item,Required,"Bonus: Passive Investigation, Advantage: Investigation, Communication, Detection",Out of the Abyss,https://www.dndbeyond.com/magic-items/5537-stonespeaker-crystal,oota
5538,Spell Gem (Obsidian),spell-gem-(obsidian),spell gem (obsidian),Uncommon,Wondrous Item,Required,"Spellcaster if Seeking to Imbue the Gem, Utility",Out of the Abyss,https://www.dndbeyond.com/magic-items/5538-spell-gem-obsidian,oota
5539,Spell Gem (Lapis Lazuli),spell-gem-(lapis-lazuli),spell gem (lapis lazuli),Uncommon,Wondrous Item,Required,"Spellcaster if Seeking to Imbue the Gem, Utility",Out of the Abyss,https://www.dndbeyond.com/magic-items/5539-spell-gem-lapis-lazuli,oota
5540,Spell Gem (Quartz),spell-gem-(quartz),spell gem (quartz),Rare,Wondrous Item,Required,"Spellcaster if Seeking to Imbue the Gem, Utility",Out of the Abyss,https://www.dndbeyond.com/magic-items/5540-spell-gem-quartz,oota
5541,Spell Gem (Bloodstone),spell-gem-(bloodstone),spell gem (bloodstone),Rare,Wondrous Item,Required,"Spellcaster if Seeking to Imbue the Gem, Utility",Out of the Abyss,https://www.dndbeyond.com/magic-items/5541-spell-gem-bloodstone,oota
5542,Spell Gem (Amber),spell-gem-(amber),spell gem (amber),Very Rare,Wondrous Item,Required,"Spellcaster if Seeking to Imbue the Gem, Utility",Out of the Abyss,https://www.dndbeyond.com/magic-items/5542-spell-gem-amber,oota
5543,Spell Gem (Jade),spell-gem-(jade),spell gem (jade),Very Rare,Wondrous Item,Required,"Spellcaster if Seeking to Imbue the Gem, Utility",Out of the Abyss,https://www.dndbeyond.com/magic-items/5543-spell-gem-jade,oota
5544,Spell Gem (Topaz),spell-gem-(topaz),spell gem (topaz),Very Rare,Wondrous Item,Required,"Spellcaster if Seeking to Imbue the Gem, Utility",Out of the Abyss,https://www.dndbeyond.com/magic-items/5544-spell-gem-topaz,oota
5545,Spell Gem (Star Ruby),spell-gem-(star-ruby),spell gem (star ruby),Legendary,Wondrous Item,Required,"Spellcaster if Seeking to Imbue the Gem, Utility",Out of the Abyss,https://www.dndbeyond.com/magic-items/5545-spell-gem-star-ruby,oota
5546,Spell Gem (Ruby),spell-gem-(ruby),spell gem (ruby),Legendary,Wondrous Item,Required,"Spellcaster if Seeking to Imbue the Gem, Utility",Out of the Abyss,https://www.dndbeyond.com/magic-items/5546-spell-gem-ruby,oota
5547,Spell Gem (Diamond),spell-gem-(diamond),spell gem (diamond),Legendary,Wondrous Item,Required,"Spellcaster if Seeking to Imbue the Gem, Utility",Out of the Abyss,https://www.dndbeyond.com/magic-items/5547-spell-gem-diamond,oota
5548,Wand of Viscid Globs,wand-of-viscid-globs,wand of viscid globs,Rare,Wand,Required,"Restrained, Control, Debuff",Out of the Abyss,https://www.dndbeyond.com/magic-items/5548-wand-of-viscid-globs,oota
5578,Balloon Pack,balloon-pack,balloon pack,Uncommon,Wondrous Item,,"Movement, Utility, Exploration",Princes of the Apocalypse,https://www.dndbeyond.com/magic-items/5578-balloon-pack,pota
5579,Bottled Breath,bottled-breath,bottled breath,Uncommon,Potion,,"Control, Utility",Princes of the Apocalypse,https://www.dndbeyond.com/magic-items/5579-bottled-breath,pota
5580,Claws of the Umber Hulk,claws-of-the-umber-hulk,claws of the umber hulk,Rare,Wondrous Item,Required,"Melee Weapon Attack: Slashing, Set: Innate Speed (Burrowing)",Princes of the Apocalypse,https://www.dndbeyond.com/magic-items/5580-claws-of-the-umber-hulk,pota
5581,Devastation Orb,devastation-orb,devastation orb,Very Rare,Wondrous Item,,"Damage, Control",Princes of the Apocalypse,https://www.dndbeyond.com/magic-items/5581-devastation-orb,pota
5582,Seeker Dart,seeker-dart,seeker dart,Uncommon,Weapon,,"Damage: Lightning, Damage, Control, Finesse, Thrown, Vex",Princes of the Apocalypse,https://www.dndbeyond.com/magic-items/5582-seeker-dart,pota
5584,Weird Tank,weird-tank,weird tank,Rare,Wondrous Item,Required,Summoning,Princes of the Apocalypse,https://www.dndbeyond.com/magic-items/5584-weird-tank,pota
5585,Storm Boomerang,storm-boomerang,storm boomerang,Uncommon,Weapon,,"Damage: Thunder, Stunned, Damage, Range",Princes of the Apocalypse,https://www.dndbeyond.com/magic-items/5585-storm-boomerang,pota
5586,Wingwear,wingwear,wingwear,Uncommon,Wondrous Item,Required,"Set: Innate Speed (Flying), Movement",Princes of the Apocalypse,https://www.dndbeyond.com/magic-items/5586-wingwear,pota
5588,Lost Crown of Besilmer,lost-crown-of-besilmer,lost crown of besilmer,Legendary,Wondrous Item,Required,"Advantage: Saving Throws, Resistance: Psychic, Buff, Warding",Princes of the Apocalypse,https://www.dndbeyond.com/magic-items/5588-lost-crown-of-besilmer,pota
5589,Orcsplitter,orcsplitter,orcsplitter,Legendary,Weapon,Required,"Bonus: Magic, Immunity: Frightened, Good-Aligned Dwarf, Fighter, or Paladin, Damage, Combat, Warding, Sentient, Heavy, Two-Handed, Cleave",Princes of the Apocalypse,https://www.dndbeyond.com/magic-items/5589-orcsplitter,pota
5590,Drown,drown,drown,Legendary,Weapon,Required,"Bonus: Magic, Damage: Cold, Language: Aquan, Resistance: Cold, Damage, Buff, Combat, Thrown, Versatile, Topple",Princes of the Apocalypse,https://www.dndbeyond.com/magic-items/5590-drown,pota
5591,Ironfang,ironfang,ironfang,Legendary,Weapon,Required,"Bonus: Magic, Damage: Thunder, Resistance: Acid, Language: Terran, Sense: Tremorsense, Damage, Buff, Combat, Versatile, Sap",Princes of the Apocalypse,https://www.dndbeyond.com/magic-items/5591-ironfang,pota
5592,Tinderstrike,tinderstrike,tinderstrike,Legendary,Weapon,Required,"Bonus: Magic, Damage: Fire, Language: Ignan, Resistance: Fire, Damage, Buff, Combat, Finesse, Light, Thrown, Nick",Princes of the Apocalypse,https://www.dndbeyond.com/magic-items/5592-tinderstrike,pota
5593,Windvane,windvane,windvane,Legendary,Weapon,Required,"Bonus: Magic, Weapon Property: Finesse, Damage: Lightning, Language: Auran, Resistance: Lightning, Damage, Buff, Combat, Thrown, Versatile, Sap",Princes of the Apocalypse,https://www.dndbeyond.com/magic-items/5593-windvane,pota
5601,Black Dragon Mask,black-dragon-mask,black dragon mask,Legendary,Wondrous Item,Required,"Resistance: Acid, Bonus: Unarmored Armor Class, Sense: Darkvision, Sense: Blindsight, Language: Draconic, Advantage: Charisma Ability Checks, Bonus: Legendary Resistance, Buff",Tyranny of Dragons,https://www.dndbeyond.com/magic-items/5601-black-dragon-mask,hotdq
5602,Hazirawn,hazirawn,hazirawn,Legendary,Weapon,Required,"Bonus: Magic, Damage: Necrotic, Bonus: Magic, Damage: Necrotic, Damage, Buff, Combat, Sentient, Heavy, Two-Handed, Graze",Tyranny of Dragons,https://www.dndbeyond.com/magic-items/5602-hazirawn,hotdq
5603,Insignia of Claws,insignia-of-claws,insignia of claws,Uncommon,Wondrous Item,,"Bonus: Natural Attacks, Damage: Natural Attacks, Damage, Buff, Combat",Tyranny of Dragons,https://www.dndbeyond.com/magic-items/5603-insignia-of-claws,hotdq
5604,Wand of Winter,wand-of-winter,wand of winter,Rare,Wand,Required,"Damage, Control",Tyranny of Dragons,https://www.dndbeyond.com/magic-items/5604-wand-of-winter,hotdq
9043,Draakhorn,draakhorn,draakhorn,Artifact,Wondrous Item,,Control,Tyranny of Dragons,https://www.dndbeyond.com/magic-items/9043-draakhorn,rot
9044,Dragontooth Dagger,dragontooth-dagger,dragontooth dagger,Rare,Weapon,,"Bonus: Magic, Damage: Acid, Damage, Bane, Finesse, Light, Thrown, Nick",Tyranny of Dragons,https://www.dndbeyond.com/magic-items/9044-dragontooth-dagger,rot
9046,Mask of the Dragon Queen,mask-of-the-dragon-queen,mask of the dragon queen,Artifact,Wondrous Item,Required,"Resistance: Acid, Resistance: Cold, Resistance: Fire, Resistance: Lightning, Resistance: Poison, Bonus: Legendary Resistance, Bonus: Unarmored Armor Class, Sense: Darkvision, Sense: Blindsight, Language: Draconic, Advantage: Charisma Ability Checks, Control, Warding",Tyranny of Dragons,https://www.dndbeyond.com/magic-items/9046-mask-of-the-dragon-queen,rot
9088,Spider Staff,spider-staff,spider staff,Rare,Staff,Required,"Damage: Poison, Damage, Combat",Lost Mine of Phandelver,https://www.dndbeyond.com/magic-items/9088-spider-staff,pabtso
9090,Staff of Defense,staff-of-defense,staff of defense,Rare,Staff,Required,"Bonus: Armor Class, Buff, Warding",Lost Mine of Phandelver,https://www.dndbeyond.com/magic-items/9090-staff-of-defense,pabtso
9288,Amulet of Protection from Turning,amulet-of-protection-from-turning,amulet of protection from turning,Rare,Wondrous Item,Required,"Advantage: Saving Throws, Buff, Warding",Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9288-amulet-of-protection-from-turning,tftyp
9290,Balance of Harmony,balance-of-harmony,balance of harmony,Uncommon,Wondrous Item,,Detection,Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9290-balance-of-harmony,tftyp
9291,Bracelet of Rock Magic,bracelet-of-rock-magic,bracelet of rock magic,Very Rare,Wondrous Item,Required,"Buff, Warding, Cursed, Wristwear",Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9291-bracelet-of-rock-magic,tftyp
9294,Eagle Whistle,eagle-whistle,eagle whistle,Rare,Wondrous Item,,"Buff, Movement",Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9294-eagle-whistle,tftyp
9297,Hell Hound Cloak,hell-hound-cloak,hell hound cloak,Rare,Wondrous Item,Required,"Buff, Shapechanging, Cursed",Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9297-hell-hound-cloak,tftyp
9305,Loadstone,loadstone,loadstone,Rare,Wondrous Item,,"Speed Reduction: Impose, Carrying Capacity: Multiplier, Movement, Cursed",Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9305-loadstone,tftyp
9316,Night Caller,night-caller,night caller,Uncommon,Wondrous Item,,"Summoning, Control",Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9316-night-caller,tftyp
9319,Robe of Summer,robe-of-summer,robe of summer,Rare,Wondrous Item,Required,"Resistance: Cold, Buff",Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9319-robe-of-summer,tftyp
9320,Shatterspike,shatterspike,shatterspike,Uncommon,Weapon,Required,"Bonus: Magic, Damage, Buff, Combat, Versatile, Sap",Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9320-shatterspike,tftyp
9325,Stone of Ill Luck,stone-of-ill-luck,stone of ill luck,Uncommon,Wondrous Item,Required,"Bonus: Ability Checks, Bonus: Saving Throws, Bonus: Initiative, Cursed",Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9325-stone-of-ill-luck,tftyp
9328,Wand of Entangle,wand-of-entangle,wand of entangle,Uncommon,Wand,Required,"spellcaster, Control, Debuff",Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9328-wand-of-entangle,tftyp
9349,Waythe,waythe,waythe,Legendary,Weapon,Required,"Bonus: Magic, Damage, Buff, Combat, Sentient, Heavy, Two-Handed, Graze",Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9349-waythe,tftyp
9355,Potion of Mind Control,potion-of-mind-control,potion of mind control,Varies,Potion,,"Control, Consumable",Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9355-potion-of-mind-control,tftyp
9379,Spear of Backbiting,spear-of-backbiting,spear of backbiting,Very Rare,Weapon,Required,"Bonus: Magic, Bonus: Weapon Attack Range, Damage: Additional, Damage, Buff, Combat, Cursed, Thrown, Versatile, Sap",Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9379-spear-of-backbiting,tftyp
9390,Javelin of Backbiting,javelin-of-backbiting,javelin of backbiting,Very Rare,Weapon,Required,"Bonus: Magic, Damage: Additional, Bonus: Weapon Attack Range, Damage, Buff, Combat, Cursed, Thrown, Slow",Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/9390-javelin-of-backbiting,tftyp
11214,Rod of the Pact Keeper,rod-of-the-pact-keeper,rod of the pact keeper,Varies,Rod,Required,"Bonus: Warlock Spell Attacks, Bonus: Warlock Spell Save DC, Warlock, Buff",Dungeon Master’s Guide (2014),https://www.dndbeyond.com/magic-items/11214-rod-of-the-pact-keeper,xdmg
11223,Mirror of the Past,mirror-of-the-past,mirror of the past,Rare,Wondrous Item,,Utility,Tales from the Yawning Portal,https://www.dndbeyond.com/magic-items/11223-mirror-of-the-past,tftyp
12465,Lightbringer,lightbringer,lightbringer,Uncommon,Weapon,,"Bonus: Magic, Damage, Combat, Sap",Lost Mine of Phandelver,https://www.dndbeyond.com/magic-items/12465-lightbringer,pabtso
12467,Dragonguard,dragonguard,dragonguard,Rare,Armor,,"Bonus: Armor Class, Advantage: Saving Throws, Combat, Warding",Lost Mine of Phandelver,https://www.dndbeyond.com/magic-items/12467-dragonguard,pabtso
12482,Hew,hew,hew,Uncommon,Weapon,,"Bonus: Magic, Damage, Combat, Versatile, Topple",Lost Mine of Phandelver,https://www.dndbeyond.com/magic-items/12482-hew,pabtso
13575,Blue Dragon Mask,blue-dragon-mask,blue dragon mask,Legendary,Wondrous Item,Required,"Resistance: Lightning, Bonus: Unarmored Armor Class, Sense: Darkvision, Sense: Blindsight, Language: Draconic, Advantage: Charisma Ability Checks, Bonus: Legendary Resistance",Tyranny of Dragons,https://www.dndbeyond.com/magic-items/13575-blue-dragon-mask,rotos
13576,Green Dragon Mask,green-dragon-mask,green dragon mask,Legendary,Wondrous Item,Required,"Resistance: Poison, Bonus: Unarmored Armor Class, Sense: Darkvision, Sense: Blindsight, Language: Draconic, Advantage: Charisma Ability Checks, Bonus: Legendary Resistance, Buff",Tyranny of Dragons,https://www.dndbeyond.com/magic-items/13576-green-dragon-mask,rotos
13577,Red Dragon Mask,red-dragon-mask,red dragon mask,Legendary,Wondrous Item,Required,"Resistance: Fire, Bonus: Unarmored Armor Class, Sense: Darkvision, Sense: Blindsight, Language: Draconic, Advantage: Charisma Ability Checks, Bonus: Legendary Resistance, Damage: Fire, Buff",Tyranny of Dragons,https://www.dndbeyond.com/magic-items/13577-red-dragon-mask,rotos
13578,White Dragon Mask,white-dragon-mask,white dragon mask,Legendary,Wondrous Item,Required,"Resistance: Cold, Bonus: Unarmored Armor Class, Sense: Darkvision, Sense: Blindsight, Language: Draconic, Advantage: Charisma Ability Checks, Bonus: Legendary Resistance, Damage: Cold, Buff",Tyranny of Dragons,https://www.dndbeyond.com/magic-items/13578-white-dragon-mask,rotos
13584,Quaal's Feather Token,quaals-feather-token,quaal's feather token,Rare,Wondrous Item,,"Creation, Summoning, Damage, Control, Movement, Utility, Exploration, Combat, Consumable",Dungeon Master’s Guide (2014),https://www.dndbeyond.com/magic-items/13584-quaals-feather-token,xdmg
21712,Amulet of the Black Skull,amulet-of-the-black-skull,amulet of the black skull,Very Rare,Wondrous Item,Required,"Teleportation, Bane",Tomb of Annihilation,https://www.dndbeyond.com/magic-items/21712-amulet-of-the-black-skull,toa
21716,Bookmark,bookmark,bookmark,Legendary,Weapon,Required,"Bonus: Magic, Damage, Control, Movement, Utility, Exploration, Combat, Finesse, Light, Thrown, Nick",Tomb of Annihilation,https://www.dndbeyond.com/magic-items/21716-bookmark,toa
21721,Ghost Lantern,ghost-lantern,ghost lantern,Rare,Wondrous Item,Required,"Healing, Utility, Exploration",Tomb of Annihilation,https://www.dndbeyond.com/magic-items/21721-ghost-lantern,toa
21724,Mask of the Beast,mask-of-the-beast,mask of the beast,Uncommon,Wondrous Item,,Utility,Tomb of Annihilation,https://www.dndbeyond.com/magic-items/21724-mask-of-the-beast,toa
21727,Ring of Winter,ring-of-winter,ring of winter,Artifact,Ring,Required,"Immunity: Cold, Control, Buff, Utility, Deception, Warding, Sentient",Tomb of Annihilation,https://www.dndbeyond.com/magic-items/21727-ring-of-winter,toa
21731,Scorpion Armor,scorpion-armor,scorpion armor,Rare,Armor,Required,"Bonus: Initiative, Stealth Disadvantage: Remove, Buff, Cursed, Str. 15 Required, Stealth Disadvantage",Tomb of Annihilation,https://www.dndbeyond.com/magic-items/21731-scorpion-armor,toa
21733,Staff of the Forgotten One,staff-of-the-forgotten-one,staff of the forgotten one,Artifact,Staff,Required,"Immunity: Blinded, Immunity: Charmed, Immunity: Deafened, Immunity: Frightened, Immunity: Petrified, Immunity: Stunned, Bonus: Magic, Damage: Necrotic, sorcerer, warlock, or wizard, Damage, Buff, Combat, Cursed",Tomb of Annihilation,https://www.dndbeyond.com/magic-items/21733-staff-of-the-forgotten-one,toa
27022,Bead of Nourishment,bead-of-nourishment,bead of nourishment,Common,Wondrous Item,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/27022-bead-of-nourishment,xdmg
27023,Bead of Refreshment,bead-of-refreshment,bead of refreshment,Common,Wondrous Item,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/27023-bead-of-refreshment,xdmg
27025,Boots of False Tracks,boots-of-false-tracks,boots of false tracks,Common,Wondrous Item,,Movement,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/27025-boots-of-false-tracks,xdmg
27026,Candle of the Deep,candle-of-the-deep,candle of the deep,Common,Wondrous Item,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/27026-candle-of-the-deep,xdmg
27039,Charlatan's Die,charlatans-die,charlatan's die,Common,Wondrous Item,Required,Social,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/27039-charlatans-die,xdmg
27040,Cloak of Billowing,cloak-of-billowing,cloak of billowing,Common,Wondrous Item,,Social,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/27040-cloak-of-billowing,wtthc
27041,Cloak of Many Fashions,cloak-of-many-fashions,cloak of many fashions,Common,Wondrous Item,,Social,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/27041-cloak-of-many-fashions,xdmg
27042,Clockwork Amulet,clockwork-amulet,clockwork amulet,Common,Wondrous Item,,Combat,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/27042-clockwork-amulet,xdmg
27043,Clothes of Mending,clothes-of-mending,clothes of mending,Common,Wondrous Item,,Social,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/27043-clothes-of-mending,xdmg
27044,Dark Shard Amulet,dark-shard-amulet,dark shard amulet,Common,Wondrous Item,Required,warlock,Xanathar's Guide to Everything,https://www.dndbeyond.com/magic-items/27044-dark-shard-amulet,xdmg
27045,Dread Helm,dread-helm,dread helm,Common,Wondrous Item,,Social,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/27045-dread-helm,wtthc
27046,Ear Horn of Hearing,ear-horn-of-hearing,ear horn of hearing,Common,Wondrous Item,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/27046-ear-horn-of-hearing,xdmg
27047,Enduring Spellbook,enduring-spellbook,enduring spellbook,Common,Wondrous Item,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/27047-enduring-spellbook,xdmg
27048,Ersatz Eye,ersatz-eye,ersatz eye,Common,Wondrous Item,,Social,Xanathar's Guide to Everything,https://www.dndbeyond.com/magic-items/27048-ersatz-eye,xdmg
27049,Hat of Vermin,hat-of-vermin,hat of vermin,Common,Wondrous Item,,,Dungeon Master’s Guide,https://www.dndbeyond.com/magic-items/27049-hat-of-vermin,xdmg
27050,Hat of Wizardry,hat-of-wizardry,hat of wizardry,Common,Wondrous Item,Required,wizard,Xanathar's Guide to Everything,https://www.dndbeyond.com/magic-items/27050-hat-of-wizardry,xdmg
