ID,NAME,NAME_LOWER,LEVEL,CASTING_TIME,RANGE,AREA,AREA_SHAPE,COMPONENTS,MATERIAL_COMPONENTS,DURATION,SCHOOL,ATTACK_SAVE,DAMAGE_EFFECT,CLASSES,SOURCE,URL,SOURCE_SHORT,SLUG
188129,Jim's Magic Missile,jim's magic missile,1st,1 Action,120 ft.,,,"V, S, M",,Instantaneous,Evocation,Ranged,Force,[],,https://www.dndbeyond.com/spells/188129-jims-magic-missile,ai,jims-magic-missile
1183867,Rime's Binding Ice,rime's binding ice,2nd,1 Action,Self,30 ft.,cone,"S, M",,Instantaneous,Evocation,CON Save,Cold,[],,https://www.dndbeyond.com/spells/1183867-rimes-binding-ice,ftd,rimes-binding-ice
654074,Frost Fingers,frost fingers,1st,1 Action,Self,15 ft.,cone,"V, S",,Instantaneous,Evocation,CON Save,Cold,[],,https://www.dndbeyond.com/spells/654074-frost-fingers,idrotf,frost-fingers
2410,Booming Blade,booming blade,Cantrip,1 Action,Self,5 ft.,sphere,"S, M",,1 Round,Evocation,Melee,Thunder (...),[],,https://www.dndbeyond.com/spells/2410-booming-blade,tce,booming-blade
2411,Green-Flame Blade,green-flame blade,Cantrip,1 Action,Self,5 ft.,sphere,"S, M",,Instantaneous,Evocation,Melee,Fire (...),[],,https://www.dndbeyond.com/spells/2411-green-flame-blade,tce,green-flame-blade
2412,Lightning Lure,lightning lure,Cantrip,1 Action,15 ft.,,,V,,Instantaneous,Evocation,STR Save,Lightning,[],,https://www.dndbeyond.com/spells/2412-lightning-lure,tce,lightning-lure
719953,Tasha's Caustic Brew,tasha's caustic brew,1st,1 Action,Self,30 ft.,line,"V, S, M",,1 Minute,Evocation,DEX Save,Acid,[],,https://www.dndbeyond.com/spells/719953-tashas-caustic-brew,tce,tashas-caustic-brew
2369,Aganazzar's Scorcher,aganazzar's scorcher,2nd,1 Action,30 ft.,30 ft.,line,"V, S, M",a red dragon's scale,Instantaneous,Evocation,DEX Save,Fire,"[""SORCERER"", ""WIZARD"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Elemental Evil Player's Companion,https://www.dndbeyond.com/spells/2369-aganazzars-scorcher,xge,aganazzars-scorcher
14761,Chaos Bolt,chaos bolt,1st,1 Action,120 ft.,,,"V, S",,Instantaneous,Evocation,Ranged,Acid (...),[],,https://www.dndbeyond.com/spells/14761-chaos-bolt,xge,chaos-bolt
14827,Crown of Stars,crown of stars,7th,1 Action,Self,,,"V, S",,1 Hour,Evocation,Ranged,Radiant,[],,https://www.dndbeyond.com/spells/14827-crown-of-stars,xge,crown-of-stars
14831,Dawn,dawn,5th,1 Action,60 ft.,30 ft. *,cylinder,"V, S, M",,1 Minute,Evocation,CON Save,Radiant,[],,https://www.dndbeyond.com/spells/14831-dawn,xge,dawn
2378,Earth Tremor,earth tremor,1st,1 Action,10 ft.,,,"V, S",,Instantaneous,Evocation,DEX Save,Bludgeoning,"[""BARD"", ""DRUID"", ""SORCERER"", ""WIZARD"", ""BARD (LEGACY)"", ""DRUID (LEGACY)"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Elemental Evil Player's Companion,https://www.dndbeyond.com/spells/2378-earth-tremor,xge,earth-tremor
2382,Frostbite,frostbite,Cantrip,1 Action,60 ft.,,,"V, S",,Instantaneous,Evocation,CON Save,Cold,"[""ARTIFICER"", ""DRUID"", ""SORCERER"", ""WARLOCK"", ""WIZARD"", ""DRUID (LEGACY)"", ""SORCERER (LEGACY)"", ""WARLOCK (LEGACY)"", ""WIZARD (LEGACY)""]",Elemental Evil Player's Companion,https://www.dndbeyond.com/spells/2382-frostbite,xge,frostbite
14874,Holy Weapon,holy weapon,5th,1 Bonus Action,Touch,,,"V, S",,1 Hour,Evocation,CON Save,Radiant (...),[],,https://www.dndbeyond.com/spells/14874-holy-weapon,xge,holy-weapon
2385,Immolation,immolation,5th,1 Action,90 ft.,,,V,,1 Minute,Evocation,DEX Save,Fire (...),"[""SORCERER"", ""WIZARD"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Elemental Evil Player's Companion,https://www.dndbeyond.com/spells/2385-immolation,xge,immolation
14881,Maddening Darkness,maddening darkness,8th,1 Action,150 ft.,60 ft.,sphere,"V, M",,10 Minutes,Evocation,WIS Save,Psychic,[],,https://www.dndbeyond.com/spells/14881-maddening-darkness,xge,maddening-darkness
2390,Maelstrom,maelstrom,5th,1 Action,120 ft.,,,"V, S, M",paper or leaf in the shape of a funnel,1 Minute,Evocation,STR Save,Bludgeoning,"[""DRUID"", ""DRUID (LEGACY)""]",Elemental Evil Player's Companion,https://www.dndbeyond.com/spells/2390-maelstrom,xge,maelstrom
2393,Melf's Minute Meteors,melf's minute meteors,3rd,1 Action,Self,,,"V, S, M","niter, sulfur, and pine tar formed into a bead",10 Minutes,Evocation,DEX Save,Fire,"[""SORCERER"", ""WIZARD"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Elemental Evil Player's Companion,https://www.dndbeyond.com/spells/2393-melfs-minute-meteors,xge,melfs-minute-meteors
14597,Sickening Radiance,sickening radiance,4th,1 Action,120 ft.,30 ft.,sphere,"V, S",,10 Minutes,Evocation,CON Save,Radiant,[],,https://www.dndbeyond.com/spells/14597-sickening-radiance,xge,sickening-radiance
2399,Snilloc's Snowball Swarm,snilloc's snowball swarm,2nd,1 Action,90 ft.,5 ft.,sphere,"V, S, M",a piece of ice or a small white rock chip,Instantaneous,Evocation,DEX Save,Cold,"[""SORCERER"", ""WIZARD"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Elemental Evil Player's Companion,https://www.dndbeyond.com/spells/2399-snillocs-snowball-swarm,xge,snillocs-snowball-swarm
2400,Storm Sphere,storm sphere,4th,1 Action,150 ft.,20 ft.,sphere,"V, S",,1 Minute,Evocation,STR Save,Bludgeoning (...),"[""SORCERER"", ""WIZARD"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Elemental Evil Player's Companion,https://www.dndbeyond.com/spells/2400-storm-sphere,xge,storm-sphere
14616,Wall of Light,wall of light,5th,1 Action,120 ft.,,,"V, S, M",,10 Minutes,Evocation,CON Save,Radiant,[],,https://www.dndbeyond.com/spells/14616-wall-of-light,xge,wall-of-light
2405,Wall of Sand,wall of sand,3rd,1 Action,90 ft.,,,"V, S, M",a handful of sand,10 Minutes,Evocation,,Blinded,"[""WIZARD"", ""WIZARD (LEGACY)""]",Elemental Evil Player's Companion,https://www.dndbeyond.com/spells/2405-wall-of-sand,xge,wall-of-sand
2406,Wall of Water,wall of water,3rd,1 Action,60 ft.,,,"V, S, M",a drop of water,10 Minutes,Evocation,,Control (...),"[""DRUID"", ""SORCERER"", ""WIZARD"", ""DRUID (LEGACY)"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Elemental Evil Player's Companion,https://www.dndbeyond.com/spells/2406-wall-of-water,xge,wall-of-water
2407,Warding Wind,warding wind,2nd,1 Action,Self,10 ft.,sphere,V,,10 Minutes,Evocation,,Deafened,"[""BARD"", ""DRUID"", ""SORCERER"", ""WIZARD"", ""BARD (LEGACY)"", ""DRUID (LEGACY)"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Elemental Evil Player's Companion,https://www.dndbeyond.com/spells/2407-warding-wind,xge,warding-wind
2409,Whirlwind,whirlwind,7th,1 Action,300 ft.,10 ft. *,cylinder,"V, M",a piece of straw,1 Minute,Evocation,DEX Save,Bludgeoning,"[""DRUID"", ""SORCERER"", ""WIZARD"", ""DRUID (LEGACY)"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Elemental Evil Player's Companion,https://www.dndbeyond.com/spells/2409-whirlwind,xge,whirlwind
14619,Wrath of Nature,wrath of nature,5th,1 Action,120 ft.,60 ft.,cube,"V, S",,1 Minute,Evocation,DEX Save,Slashing (...),[],,https://www.dndbeyond.com/spells/14619-wrath-of-nature,xge,wrath-of-nature
2618844,Acid Splash,acid splash,Cantrip,1 Action,60 ft.,5 ft.,sphere,"V, S",,Instantaneous,Evocation,DEX Save,Acid,"[""ARTIFICER"", ""SORCERER"", ""WIZARD"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618844-acid-splash,xphb,acid-splash
2618928,Bigby's Hand,bigby's hand,5th,1 Action,120 ft.,,,"V, S, M",an eggshell and a glove,1 Minute,Evocation,,Force (...),"[""ARTIFICER"", ""SORCERER"", ""WIZARD"", ""THE FATHOMLESS (TCOE)"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618928-bigbys-hand,xphb,bigbys-hand
2618929,Blade Barrier,blade barrier,6th,1 Action,90 ft.,,,"V, S",,10 Minutes,Evocation,DEX Save,Force,"[""CLERIC"", ""CLERIC (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618929-blade-barrier,xphb,blade-barrier
2618936,Blinding Smite,blinding smite,3rd,1 Bonus Action *,Self,,,V,,1 Minute,Evocation,CON Save,Radiant,[],,https://www.dndbeyond.com/spells/2618936-blinding-smite,xphb,blinding-smite
2618946,Burning Hands,burning hands,1st,1 Action,Self,15 ft.,cone,"V, S",,Instantaneous,Evocation,DEX Save,Fire,"[""CIRCLE OF WILDFIRE (TCOE)"", ""THE GENIE (TCOE)"", ""SORCERER"", ""WIZARD"", ""LIGHT DOMAIN"", ""FIEND PATRON"", ""ILLRIGGER"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618946-burning-hands,xphb,burning-hands
2618960,Chain Lightning,chain lightning,6th,1 Action,150 ft.,,,"V, S, M",three silver pins,Instantaneous,Evocation,DEX Save,Lightning,"[""SORCERER"", ""WIZARD"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618960-chain-lightning,xphb,chain-lightning
2618966,Chromatic Orb,chromatic orb,1st,1 Action,90 ft.,,,"V, S, M",a diamond worth 50+ GP,Instantaneous,Evocation,Ranged,Acid (...),"[""SORCERER"", ""WIZARD"", ""DRACONIC SORCERY"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618966-chromatic-orb,xphb,chromatic-orb
2619042,Cone of Cold,cone of cold,5th,1 Action,Self,60 ft.,cone,"V, S, M",a small crystal or glass cone,Instantaneous,Evocation,CON Save,Cold,"[""THE HEXBLADE (XGTE)"", ""THE FATHOMLESS (TCOE)"", ""THE GENIE (TCOE)"", ""DRUID"", ""SORCERER"", ""WIZARD"", ""DRUID (LEGACY)"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619042-cone-of-cold,xphb,cone-of-cold
2619065,Continual Flame,continual flame,2nd,1 Action,Touch,,,"V, S, M","ruby dust worth 50+ GP, which the spell consumes",Until Dispelled,Evocation,,Creation,"[""ARTIFICER"", ""CLERIC"", ""DRUID"", ""WIZARD"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619065-continual-flame,xphb,continual-flame
2619057,Crusader's Mantle,crusader's mantle,3rd,1 Action,Self,30 ft.,emanation,V,,1 Minute,Evocation,,Radiant,[],,https://www.dndbeyond.com/spells/2619057-crusaders-mantle,xphb,crusaders-mantle
2619080,Darkness,darkness,2nd,Action,60 ft.,15 ft.,sphere,"V, M",bat fur and a piece of coal,10 Minutes,Evocation,,Control,"[""OATHBREAKER (DMG)"", ""SORCERER"", ""WARLOCK"", ""WIZARD"", ""SORCERER (LEGACY)"", ""WARLOCK (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619080-darkness,xphb,darkness
2619083,Daylight,daylight,3rd,1 Action,60 ft.,60 ft.,sphere,"V, S",,1 Hour,Evocation,,Control,"[""CLERIC"", ""DRUID"", ""PALADIN"", ""RANGER"", ""SORCERER"", ""LIGHT DOMAIN"", ""CELESTIAL PATRON"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)"", ""PALADIN (LEGACY)"", ""RANGER (LEGACY)"", ""SORCERER (LEGACY)"", ""THE CELESTIAL (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619083-daylight,xphb,daylight
2619086,Delayed Blast Fireball,delayed blast fireball,7th,1 Action,150 ft.,20 ft.,sphere,"V, S, M",a ball of bat guano and sulfur,1 Minute,Evocation,DEX Save,Fire (...),"[""SORCERER"", ""WIZARD"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619086-delayed-blast-fireball,xphb,delayed-blast-fireball
2619089,Destructive Wave,destructive wave,5th,1 Action,Self,30 ft.,sphere,V,,Instantaneous,Evocation,CON Save,Thunder (...),[],,https://www.dndbeyond.com/spells/2619089-destructive-wave,xphb,destructive-wave
2618833,Divine Smite,divine smite,1st,1 Bonus Action *,Self,,,V,,Instantaneous,Evocation,,Radiant,"[""PALADIN"", ""PALADIN (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618833-divine-smite,xphb,divine-smite
2619144,Divine Word,divine word,7th,1 Bonus Action,30 ft.,,,V,,Instantaneous,Evocation,CHA Save,Deafened (...),"[""CLERIC"", ""CLERIC (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619144-divine-word,xphb,divine-word
2619161,Eldritch Blast,eldritch blast,Cantrip,1 Action,120 ft.,,,"V, S",,Instantaneous,Evocation,Ranged,Force,"[""WARLOCK"", ""WARLOCK (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619161-eldritch-blast,xphb,eldritch-blast
2618858,Faerie Fire,faerie fire,1st,1 Action,60 ft.,20 ft.,cube,V,,1 Minute,Evocation,DEX Save,Debuff,"[""ARTIFICER"", ""TWILIGHT DOMAIN (TCOE)"", ""BARD"", ""DRUID"", ""LIGHT DOMAIN"", ""ARCHFEY PATRON"", ""BARD (LEGACY)"", ""DRUID (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618858-faerie-fire,xphb,faerie-fire
2618890,Fire Bolt,fire bolt,Cantrip,1 Action,120 ft.,,,"V, S",,Instantaneous,Evocation,Ranged,Fire,"[""ARTIFICER"", ""SORCERER"", ""WIZARD"", ""ILLRIGGER"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618890-fire-bolt,xphb,fire-bolt
2618894,Fire Shield,fire shield,4th,1 Action,Self,,,"V, S, M",a bit of phosphorus or a firefly,10 Minutes,Evocation,,Fire (...),"[""CIRCLE OF WILDFIRE (TCOE)"", ""THE GENIE (TCOE)"", ""DRUID"", ""SORCERER"", ""WIZARD"", ""WAR DOMAIN"", ""FIEND PATRON"", ""DRUID (LEGACY)"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618894-fire-shield,xphb,fire-shield
2618896,Fire Storm,fire storm,7th,1 Action,150 ft.,10 ft.,cube,"V, S",,Instantaneous,Evocation,DEX Save,Fire,"[""CLERIC"", ""DRUID"", ""SORCERER"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)"", ""SORCERER (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618896-fire-storm,xphb,fire-storm
2618887,Fireball,fireball,3rd,1 Action,150 ft.,20 ft.,sphere,"V, S, M",a ball of bat guano and sulfur,Instantaneous,Evocation,DEX Save,Fire,"[""THE GENIE (TCOE)"", ""SORCERER"", ""WIZARD"", ""LIGHT DOMAIN"", ""FIEND PATRON"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618887-fireball,xphb,fireball
2618899,Flame Blade,flame blade,2nd,1 Bonus Action,Self,,,"V, S, M",a sumac leaf,10 Minutes,Evocation,Melee,Fire,"[""DRUID"", ""SORCERER"", ""DRUID (LEGACY)"", ""SORCERER (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618899-flame-blade,xphb,flame-blade
2618920,Flame Strike,flame strike,5th,1 Action,60 ft.,10 ft. *,cylinder,"V, S, M",a pinch of sulfur,Instantaneous,Evocation,DEX Save,Fire (...),"[""CIRCLE OF WILDFIRE (TCOE)"", ""THE GENIE (TCOE)"", ""CLERIC"", ""LIGHT DOMAIN"", ""OATH OF DEVOTION"", ""OATH OF CASTIGATION"", ""CLERIC (LEGACY)"", ""THE CELESTIAL (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618920-flame-strike,xphb,flame-strike
2618916,Forcecage,forcecage,7th,1 Action,100 ft.,*,cube,"V, S, M","ruby dust worth 1,500+ GP, which the spell consumes",1 Hour,Evocation,CHA Save,Control (...),"[""BARD"", ""WARLOCK"", ""WIZARD"", ""BARD (LEGACY)"", ""WARLOCK (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618916-forcecage,xphb,forcecage
2618835,Fount of Moonlight,fount of moonlight,4th,1 Action,Self,,,"V, S",,10 Minutes,Evocation,CON Save,Radiant,[],,https://www.dndbeyond.com/spells/2618835-fount-of-moonlight,xphb,fount-of-moonlight
2619136,Guiding Bolt,guiding bolt,1st,1 Action,120 ft.,,,"V, S",,1 Round,Evocation,Ranged,Radiant,"[""CLERIC"", ""WAR DOMAIN"", ""OATH OF GLORY"", ""CELESTIAL PATRON"", ""CLERIC (LEGACY)"", ""THE CELESTIAL (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619136-guiding-bolt,xphb,guiding-bolt
2619137,Gust of Wind,gust of wind,2nd,1 Action,Self,,,"V, S, M",a legume seed,1 Minute,Evocation,STR Save,Control,"[""TEMPEST DOMAIN (PHB)"", ""THE FATHOMLESS (TCOE)"", ""THE GENIE (TCOE)"", ""DRUID"", ""RANGER"", ""SORCERER"", ""WIZARD"", ""CIRCLE OF THE SEA"", ""DRUID (LEGACY)"", ""RANGER (LEGACY)"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619137-gust-of-wind,xphb,gust-of-wind
2619149,Hellish Rebuke,hellish rebuke,1st,Reaction *,60 ft.,,,"V, S",,Instantaneous,Evocation,DEX Save,Fire,"[""OATHBREAKER (DMG)"", ""WARLOCK"", ""WARLOCK (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619149-hellish-rebuke,xphb,hellish-rebuke
2619178,Ice Storm,ice storm,4th,1 Action,300 ft.,20 ft. *,cylinder,"V, S, M",a mitten,Instantaneous,Evocation,DEX Save,Bludgeoning (...),"[""TEMPEST DOMAIN (PHB)"", ""DRUID"", ""SORCERER"", ""WIZARD"", ""CIRCLE OF THE SEA"", ""OATH OF THE ANCIENTS"", ""DRUID (LEGACY)"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619178-ice-storm,xphb,ice-storm
2618836,Jallarzi's Storm of Radiance,jallarzi's storm of radiance,5th,1 Action,120 ft.,10 ft. *,cylinder,"V, S, M",,1 Minute,Evocation,CON Save,Radiant (...),[],,https://www.dndbeyond.com/spells/2618836-jallarzis-storm-of-radiance,xphb,jallarzis-storm-of-radiance
2619013,Leomund's Tiny Hut,leomund's tiny hut,3rd,1 Minute,Self,10 ft.,sphere,"V, S, M",a crystal bead,8 Hours,Evocation,,Utility,"[""TWILIGHT DOMAIN (TCOE)"", ""BARD"", ""WIZARD"", ""BARD (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619013-leomunds-tiny-hut,xphb,leomunds-tiny-hut
2618996,Light,light,Cantrip,1 Action,Touch,,,"V, M",a firefly or phosphorescent moss,1 Hour,Evocation,,Creation (...),"[""ARTIFICER"", ""BARD"", ""CLERIC"", ""SORCERER"", ""WIZARD"", ""CELESTIAL PATRON"", ""BARD (LEGACY)"", ""CLERIC (LEGACY)"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618996-light,xphb,light
2618999,Lightning Bolt,lightning bolt,3rd,1 Action,Self,100 ft.,line,"V, S, M",a bit of fur and a crystal rod,Instantaneous,Evocation,DEX Save,Lightning,"[""THE FATHOMLESS (TCOE)"", ""SORCERER"", ""WIZARD"", ""CIRCLE OF THE SEA"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618999-lightning-bolt,xphb,lightning-bolt
2619022,Magic Missile,magic missile,1st,1 Action,120 ft.,,,"V, S",,Instantaneous,Evocation,,Force,"[""ARCANA DOMAIN (SCAG)"", ""SORCERER"", ""WIZARD"", ""THE MANY"", ""THE MANY"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619022-magic-missile,xphb,magic-missile
2619032,Melf's Acid Arrow,melf's acid arrow,2nd,1 Action,90 ft.,,,"V, S, M",powdered rhubarb leaf,Instantaneous,Evocation,Ranged,Acid (...),"[""WIZARD"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619032-melfs-acid-arrow,xphb,melfs-acid-arrow
2619035,Meteor Swarm,meteor swarm,9th,1 Action,1 mile,40 ft. *,sphere,"V, S",,Instantaneous,Evocation,DEX Save,Fire (...),"[""SORCERER"", ""WIZARD"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619035-meteor-swarm,xphb,meteor-swarm
2619134,Moonbeam,moonbeam,2nd,1 Action,120 ft.,5 ft. *,cylinder,"V, S, M",a moonseed leaf,1 Minute,Evocation,CON Save,Radiant,"[""TWILIGHT DOMAIN (TCOE)"", ""OATH OF THE WATCHERS (TCOE)"", ""DRUID"", ""OATH OF THE ANCIENTS"", ""DRUID (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619134-moonbeam,xphb,moonbeam
2619118,Mordenkainen's Sword,mordenkainen's sword,7th,1 Action,90 ft.,,,"V, S, M",a miniature sword worth 250+ GP,1 Minute,Evocation,Melee,Force,"[""BARD"", ""WIZARD"", ""BARD (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619118-mordenkainens-sword,xphb,mordenkainens-sword
2619126,Otiluke's Freezing Sphere,otiluke's freezing sphere,6th,1 Action,300 ft.,60 ft.,sphere,"V, S, M",a miniature crystal sphere,Instantaneous,Evocation,CON Save,Cold,"[""SORCERER"", ""WIZARD"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619126-otilukes-freezing-sphere,xphb,otilukes-freezing-sphere
2618895,Prismatic Spray,prismatic spray,7th,1 Action,Self,60 ft.,cone,"V, S",,Instantaneous,Evocation,DEX Save,Fire (...),"[""BARD"", ""SORCERER"", ""WIZARD"", ""BARD (LEGACY)"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618895-prismatic-spray,xphb,prismatic-spray
2618930,Ray of Frost,ray of frost,Cantrip,1 Action,60 ft.,,,"V, S",,Instantaneous,Evocation,Ranged,Cold,"[""ARTIFICER"", ""SORCERER"", ""WIZARD"", ""CIRCLE OF THE SEA"", ""ILLRIGGER"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618930-ray-of-frost,xphb,ray-of-frost
2618967,Sacred Flame,sacred flame,Cantrip,1 Action,60 ft.,,,"V, S",,Instantaneous,Evocation,DEX Save,Radiant,"[""CLERIC"", ""CELESTIAL PATRON"", ""CLERIC (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618967-sacred-flame,xphb,sacred-flame
2619005,Scorching Ray,scorching ray,2nd,1 Action,120 ft.,,,"V, S",,Instantaneous,Evocation,Ranged,Fire,"[""CIRCLE OF WILDFIRE (TCOE)"", ""THE GENIE (TCOE)"", ""SORCERER"", ""WIZARD"", ""LIGHT DOMAIN"", ""FIEND PATRON"", ""ILLRIGGER"", ""THE MANY"", ""THE MANY"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619005-scorching-ray,xphb,scorching-ray
2619009,Searing Smite,searing smite,1st,1 Bonus Action *,Self,,,V,,1 Minute,Evocation,CON Save,Fire (...),"[""FORGE DOMAIN (XGTE)"", ""PALADIN"", ""PALADIN (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619009-searing-smite,xphb,searing-smite
2619017,Shatter,shatter,2nd,1 Action,60 ft.,10 ft.,sphere,"V, S, M",a chip of mica,Instantaneous,Evocation,CON Save,Thunder,"[""TEMPEST DOMAIN (PHB)"", ""BARD"", ""SORCERER"", ""WIZARD"", ""CIRCLE OF THE SEA"", ""BARD (LEGACY)"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619017-shatter,xphb,shatter
2618986,Shocking Grasp,shocking grasp,Cantrip,1 Action,Touch,,,"V, S",,Instantaneous,Evocation,Melee,Lightning,"[""ARTIFICER"", ""SORCERER"", ""WIZARD"", ""ILLRIGGER"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618986-shocking-grasp,xphb,shocking-grasp
2618839,Sorcerous Burst,sorcerous burst,Cantrip,1 Action,120 ft.,,,"V, S",,Instantaneous,Evocation,Ranged,Acid (...),"[""SORCERER"", ""SORCERER (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618839-sorcerous-burst,xphb,sorcerous-burst
2619081,Spiritual Weapon,spiritual weapon,2nd,1 Bonus Action,60 ft.,,,"V, S",,1 Minute,Evocation,Melee,Force,"[""OATH OF CONQUEST (XGTE)"", ""CLERIC"", ""WAR DOMAIN"", ""CLERIC (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619081-spiritual-weapon,xphb,spiritual-weapon
2618840,Starry Wisp,starry wisp,Cantrip,1 Action,60 ft.,,,"V, S",,Instantaneous,Evocation,Ranged,Radiant,"[""BARD"", ""DRUID"", ""BARD (LEGACY)"", ""DRUID (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2618840-starry-wisp,xphb,starry-wisp
2619121,Sunbeam,sunbeam,6th,1 Action,Self,60 ft.,line,"V, S, M",a magnifying glass,1 Minute,Evocation,CON Save,Radiant,"[""CLERIC"", ""DRUID"", ""SORCERER"", ""WIZARD"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619121-sunbeam,xphb,sunbeam
2619123,Sunburst,sunburst,8th,1 Action,150 ft.,60 ft.,sphere,"V, S, M",a piece of sunstone,Instantaneous,Evocation,CON Save,Radiant,"[""CLERIC"", ""DRUID"", ""SORCERER"", ""WIZARD"", ""CLERIC (LEGACY)"", ""DRUID (LEGACY)"", ""SORCERER (LEGACY)"", ""WIZARD (LEGACY)""]",Player’s Handbook,https://www.dndbeyond.com/spells/2619123-sunburst,xphb,sunburst
